分类,单词,中文,例句
衣物 (Clothing),Shorts,短裤,She packed a pair of shorts for the beach vacation.
衣物 (Clothing),Hat,帽子,He always wears a baseball cap when he goes running.
衣物 (Clothing),Scarf,围巾,She wrapped a soft scarf around her neck in the winter.
衣物 (Clothing),Socks,袜子,He wore warm socks with his boots.
衣物 (Clothing),Sneakers,运动鞋,She put on her sneakers for a jog.
衣物 (Clothing),Boots,靴子,He bought a new pair of boots for the winter.
衣物 (Clothing),Sandals,凉鞋,She wore sandals to the beach.
衣物 (Clothing),Gloves,手套,He put on his gloves to keep his hands warm.
衣物 (Clothing),Belt,皮带,The belt matched perfectly with his shoes.
衣物 (Clothing),Pajamas,睡衣,She changed into her pajamas before bed.
衣物 (Clothing),Swimsuit,泳衣,She packed her swimsuit for the pool party.
衣物 (Clothing),Blouse,女士衬衫,She wore a silk blouse to the office.
衣物 (Clothing),Sweatshirt,卫衣,He put on a sweatshirt after working out.
衣物 (Clothing),Raincoat,雨衣,She brought a raincoat in case it rained.
衣物 (Clothing),Blazer,西装外套,He wore a blazer to the job interview.
衣物 (Clothing),Tie,领带,He wore a colorful tie to the wedding.
衣物 (Clothing),Leggings,紧身裤,She wore leggings to yoga class.
衣物 (Clothing),Dress shoes,皮鞋,He polished his dress shoes for the event.
衣物 (Clothing),Slippers,拖鞋,She slipped on her cozy slippers at home.
衣物 (Clothing),Hoodie,帽衫,He wore a hoodie to stay warm on the chilly evening.
工作 (Work),job,工作,She found a new job in a different city.
工作 (Work),career,职业,He is considering a career change.
工作 (Work),salary,工资,She received a higher salary after the promotion.
工作 (Work),office,办公室,Our office is located in downtown.
工作 (Work),manager,经理,He is the manager of the sales team.
工作 (Work),employee,雇员,The company hired several new employees.
工作 (Work),boss,老板,The boss was pleased with their performance.
工作 (Work),colleague,同事,He gets along well with his colleagues at work.
工作 (Work),team,团队,We work as a team to achieve our goals.
工作 (Work),meeting,会议,The meeting has been rescheduled to next week.
工作 (Work),deadline,截止日期,We have to meet the deadline for this project.
工作 (Work),project,项目,She is leading a new project at work.
工作 (Work),promotion,晋升,His hard work led to a well-deserved promotion.
工作 (Work),opportunity,机会,This job offers great career opportunities.
工作 (Work),interview,面试,She has an interview for a new job tomorrow.
工作 (Work),resume,简历,He updated his resume before applying for the job.
工作 (Work),train,训练,They need to train new employees for the role.
工作 (Work),skills,技能,She has excellent communication skills.
工作 (Work),experience,经验,He gained valuable experience in his previous job.
工作 (Work),qualification,资格,She has the qualifications necessary for the position.
工作 (Work),full-time,全职,She works as a full-time employee.
工作 (Work),part-time,兼职,He has a part-time job on weekends.
工作 (Work),overtime,加班,She has to work overtime to finish the project.
工作 (Work),telecommute,远程办公,He has the option to telecommute twice a week.
工作 (Work),deadline,截止日期,We have to meet the deadline for this project.
工作 (Work),flexible,灵活的，She enjoys the flexibility of her work schedule.,
工作 (Work),benefits,福利,The job comes with competitive benefits.
工作 (Work),retirement,退休,He is saving for his retirement.
工作 (Work),opportunity,机会,This job offers great career opportunities.
娱乐 (Entertainment),movie,电影,I love watching movies with my friends on the weekends.
娱乐 (Entertainment),music,音乐,I listen to music to relax after a long day at work.
娱乐 (Entertainment),dance,跳舞,She is a talented dancer and performs in shows regularly.
娱乐 (Entertainment),game,游戏,Playing video games is one of my favorite hobbies.
娱乐 (Entertainment),concert,音乐会,We bought tickets to see our favorite band in concert next month.
娱乐 (Entertainment),theater,剧院,We are going to see a play at the theater this Friday night.
娱乐 (Entertainment),art,艺术,She has a great passion for painting and creating art.
娱乐 (Entertainment),book,书籍,Reading a good book can transport you to another world.
娱乐 (Entertainment),performance,表演,Their dance performance was absolutely mesmerizing.
娱乐 (Entertainment),festival,节日,We are planning to attend the music festival next weekend.
娱乐 (Entertainment),show,演出,The circus show was entertaining and full of surprises.
娱乐 (Entertainment),karaoke,卡拉OK,We had a fun night singing karaoke with friends.
娱乐 (Entertainment),exhibition,展览,The art exhibition featured works from local artists.
娱乐 (Entertainment),comedy,喜剧,Watching a comedy show always brightens my day.
娱乐 (Entertainment),magazine,杂志,She enjoys reading fashion magazines in her free time.
娱乐 (Entertainment),video,视频,We watched funny cat videos on the internet yesterday.
娱乐 (Entertainment),movie theater,电影院,Let's go to the movie theater to watch the new release.
娱乐 (Entertainment),musical,音乐剧,I can't wait to see the new musical in town next week.
娱乐 (Entertainment),popcorn,爆米花,I always get popcorn when I go to the movies.
娱乐 (Entertainment),singing,唱歌,Singing along to my favorite songs is my stress reliever.
娱乐 (Entertainment),photography,摄影,He has a passion for photography and capturing moments.
娱乐 (Entertainment),role-playing,角色扮演,We had a blast doing role-playing games at the party.
娱乐 (Entertainment),virtual reality,虚拟现实,He experienced a thrilling adventure in virtual reality.
娱乐 (Entertainment),acrobatics,杂技,The acrobatics show at the circus was jaw-dropping.
娱乐 (Entertainment),museum,博物馆,We spent the afternoon exploring the art museum.
娱乐 (Entertainment),gaming console,游戏机,He spends hours playing games on his gaming console.
娱乐 (Entertainment),drama,戏剧,She enjoys watching both comedy and drama series.
娱乐 (Entertainment),online streaming,在线流媒体,We binge-watched a popular series on online streaming.
娱乐 (Entertainment),animation,动画,My favorite type of movie is animated films.
娱乐 (Entertainment),concert hall,音乐厅,The symphony orchestra performed at the concert hall.
学习 (Learning),study,学习,I need to study for my English test.
学习 (Learning),learn,学习,We learn new things every day.
学习 (Learning),knowledge,知识,Reading books can help increase your knowledge.
学习 (Learning),educate,教育,It is important to educate children about the importance of recycling.
学习 (Learning),memorize,记忆,She needs to memorize all the formulas for the exam.
学习 (Learning),understand,理解,Can you help me understand this math problem?
学习 (Learning),practice,练习,Practice makes perfect.
学习 (Learning),skill,技能,She has excellent communication skills.
学习 (Learning),improve,提高,He is working hard to improve his grades.
学习 (Learning),progress,进步,She is making great progress in her violin lessons.
学习 (Learning),develop,发展,The children are encouraged to develop their creative talents.
学习 (Learning),master,掌握,It takes time to master a new language.
学习 (Learning),comprehend,理解,It's important to comprehend the meaning of the text.
学习 (Learning),absorb,吸收,It's easier to absorb information when you are focused.
学习 (Learning),expand,扩大,Reading can help expand your vocabulary.
学习 (Learning),assimilate,吸收,It's important to assimilate new ideas and information.
学习 (Learning),grasp,理解,She quickly grasped the concept of the experiment.
学习 (Learning),review,复习,Make sure to review your notes before the test.
学习 (Learning),revise,修改,He needs to revise his essay before submitting it.
学习 (Learning),explore,探索,Children love to explore new things.
学习 (Learning),experiment,实验,She conducted a scientific experiment in the lab.
学习 (Learning),analyze,分析,We need to analyze the data to draw conclusions.
学习 (Learning),evaluate,评估,It's important to evaluate the results of the experiment.
学习 (Learning),challenge,挑战,The difficult puzzle was a good challenge for him.
学习 (Learning),motivate,激励,His coach always knows how to motivate the team.
学习 (Learning),inspire,激发,Her success story inspired others to follow their dreams.
学习 (Learning),encourage,鼓励,Parents should encourage their children to do their best.
学习 (Learning),support,支持,Having a supportive teacher can make a big difference.
学习 (Learning),guide,指导,He is there to guide you through the process.
学习 (Learning),mentor,导师,She found a mentor who helped her navigate her career.
家居 (Home),living room,客厅,We usually watch TV in the living room.
家居 (Home),bedroom,卧室,My bedroom is painted blue.
家居 (Home),kitchen,厨房,She is cooking dinner in the kitchen.
家居 (Home),bathroom,浴室,The bathroom is equipped with a shower and a bathtub.
家居 (Home),dining room,餐厅,We have family meals in the dining room.
家居 (Home),bed,床,I need to buy a new bed for my room.
家居 (Home),sofa,沙发,I like to relax on the sofa while watching movies.
家居 (Home),table,桌子,There is a vase of flowers on the table.
家居 (Home),chair,椅子,Please have a seat on the chair.
家居 (Home),lamp,灯,Turn on the lamp
家居 (Home),curtains,窗帘,I like to open the curtains to let the sunlight in.
家居 (Home),carpet,地毯,The carpet in the living room is soft and fluffy.
家居 (Home),mirror,镜子,She is checking her reflection in the mirror.
家居 (Home),shelves,书架,We need more shelves to store our books.
家居 (Home),clock,钟表,The clock on the wall is ticking loudly.
家居 (Home),cushion,靠垫,The cushions on the sofa are comfortable.
家居 (Home),blanket,毯子,Grab a blanket to keep warm.
家居 (Home),pillow,枕头,I need a new pillow for my bed.
家居 (Home),wardrobe,衣柜,She has a lot of clothes in her wardrobe.
家居 (Home),fridge,冰箱,Don't forget to put the milk back in the fridge.
家居 (Home),oven,烤箱,I'm baking cookies in the oven.
家居 (Home),microwave,微波炉,You can heat up your food in the microwave.
家居 (Home),sink,水槽,Please wash the dishes in the sink.
家居 (Home),toilet,厕所,The toilet is down the hall on the left.
家居 (Home),mirror,镜子,There is a mirror above the sink in the bathroom.
家居 (Home),bath mat,浴室脚垫,The bath mat keeps the floor from getting wet.
家居 (Home),television,电视机,Let's watch a movie on television tonight.
家居 (Home),remote control,遥控器,Pass me the remote control
家居 (Home),lampshade,灯罩,The lampshade adds a soft glow to the room.
家居 (Home),window blinds,百叶窗,Close the window blinds before you sleep.
建筑 (Buildings),skyscraper,摩天大楼,The tallest skyscraper in the city is a popular tourist attraction.
建筑 (Buildings),building,建筑物,The tall building stood out among the city skyline.
建筑 (Buildings),skyscraper,摩天大楼,The new skyscraper will be the tallest in the city.
建筑 (Buildings),house,房子,They have a beautiful house in the countryside.
建筑 (Buildings),apartment,公寓,She lives in a cozy apartment in the city.
建筑 (Buildings),office,办公室,His office is on the top floor of the building.
建筑 (Buildings),hotel,酒店,We stayed at a luxurious hotel during our vacation.
建筑 (Buildings),hospital,医院,The nearest hospital is just a few blocks away.
建筑 (Buildings),school,学校,The new school building has state-of-the-art facilities.
建筑 (Buildings),church,教堂,We visited the historic church in the town center.
建筑 (Buildings),museum,博物馆,The museum exhibits rare artifacts from ancient civilizations.
建筑 (Buildings),library,图书馆,She spent hours browsing books at the university library.
建筑 (Buildings),bridge,桥梁,The bridge spans across the river
建筑 (Buildings),stadium,体育场,The stadium can accommodate thousands of cheering fans.
建筑 (Buildings),theater,剧院,They watched a captivating play at the local theater.
建筑 (Buildings),mall,商场,The mall is a popular shopping destination for locals.
建筑 (Buildings),factory,工厂,The old factory has been converted into a creative space.
建筑 (Buildings),warehouse,仓库,The warehouse stores goods for distribution to stores.
建筑 (Buildings),skyscraper,摩天大楼,The skyline is dominated by towering skyscrapers.
建筑 (Buildings),condominium,公寓大楼,They own a condominium with a stunning view of the city.
建筑 (Buildings),bungalow,平房,The cozy bungalow was surrounded by lush greenery.
建筑 (Buildings),cottage,村舍,Their cottage by the lake was a peaceful retreat.
建筑 (Buildings),villa,别墅,The luxurious villa featured a private pool and garden.
建筑 (Buildings),chalet,小木屋,They rented a charming chalet for their winter vacation.
建筑 (Buildings),penthouse,顶层公寓,The penthouse offered panoramic views of the city below.
建筑 (Buildings),warehouse,仓库,The warehouse stored inventory for the large retail chain.
建筑 (Buildings),lighthouse,灯塔,The lighthouse guided ships safely to the harbor.
建筑 (Buildings),mansion,大厦,The grand mansion was a symbol of wealth and opulence.
建筑 (Buildings),dormitory,宿舍,The university dormitory housed hundreds of students.
建筑 (Buildings),cabin,小木屋,They spent the weekend in a cozy cabin in the mountains.
建筑 (Buildings),townhouse,联排别墅,The townhouse had a charming facade with a garden.
交往 (Communication),message,信息,I received a message from my friend this morning.
交往 (Communication),conversation,对话,We had a nice conversation over dinner.
交往 (Communication),talk,谈话,Let's sit down and talk about this.
交往 (Communication),speak,说话,She can speak three languages fluently.
交往 (Communication),listen,听,I enjoy listening to music in my free time.
交往 (Communication),chat,聊天,I love to chat with my friends online.
交往 (Communication),communicate,沟通,Effective communication is key in any relationship.
交往 (Communication),contact,联系,Please keep in contact with me about the project.
交往 (Communication),email,电子邮件,I will send you the details via email.
交往 (Communication),phone,电话,Can you give me a call when you're free?
交往 (Communication),write,写,I need to write a report for my boss.
交往 (Communication),meet,见面,Let's plan to meet for coffee next week.
交往 (Communication),video call,视频通话,We can have a video call if you prefer.
交往 (Communication),language,语言,Learning a new language can be challenging but rewarding.
交往 (Communication),social media,社交媒体,Many people use social media to stay connected with friends.
交往 (Communication),text,发短信,I'll text you the address of the party.
环境 (Environment),pollution,污染,Factory emissions contribute to air pollution.
环境 (Environment),recycling,回收利用,We should promote recycling to protect the environment.
环境 (Environment),conservation,保护,Wildlife conservation is crucial for biodiversity.
环境 (Environment),deforestation,砍伐森林,There are negative consequences of deforestation on the planet.
环境 (Environment),renewable,可再生的,Solar energy is a type of renewable energy.
环境 (Environment),ecosystem,生态系统,The health of the ecosystem depends on all its components.
环境 (Environment),global warming,全球变暖,Human activities contribute to global warming.
环境 (Environment),sustainability,可持续性,We must strive for sustainability in our lifestyles.
环境 (Environment),greenhouse gas,温室气体,Reducing greenhouse gas emissions is vital for the environment.
环境 (Environment),biodiversity,生物多样性,The rainforest is home to a vast array of biodiversity.
环境 (Environment),conservationist,环保人士,Conservationists work to protect endangered species.
环境 (Environment),renewable energy,可再生能源,Wind power is a form of renewable energy.
环境 (Environment),landfill,垃圾填埋场,We should reduce the amount of waste sent to landfills.
环境 (Environment),climate change,气候变化,Climate change is a pressing issue facing the world.
环境 (Environment),organic,有机的,Organic farming methods are better for the environment.
环境 (Environment),habitat,栖息地,Deforestation threatens the habitat of many species.
环境 (Environment),pollution control,污染控制,Stricter regulations are needed for pollution control.
环境 (Environment),carbon footprint,碳足迹,We should reduce our carbon footprint to combat climate change.
环境 (Environment),water conservation,节水,Water conservation is essential for a sustainable future.
环境 (Environment),environmentalist,环保主义者,The environmentalist advocated for clean energy policies.
环境 (Environment),waste management,废物管理,Proper waste management is crucial for a cleaner environment.
环境 (Environment),conservation area,自然保护区,The conservation area is home to many endangered species.
环境 (Environment),air quality,空气质量,Improving air quality is essential for public health.
环境 (Environment),biodegradable,可生物降解的,Using biodegradable products helps reduce pollution.
环境 (Environment),eco-friendly,环保的,Eco-friendly products are better for the environment.
环境 (Environment),natural resources,自然资源,We must protect our natural resources for future generations.
环境 (Environment),wildlife sanctuary,野生动物保护区,The wildlife sanctuary provides a safe haven for endangered animals.
环境 (Environment),plastic pollution,塑料污染,Plastic pollution is a major threat to marine life.
环境 (Environment),sustainable development,可持续发展,Sustainable development balances economic growth with environmental protection.
环境 (Environment),environmental impact,环境影响,We must consider the environmental impact of our actions.
旅行 (Travel),passport,护照,Don't forget to bring your passport when you travel abroad.
旅行 (Travel),hotel,酒店,We booked a room at a nice hotel near the beach.
旅行 (Travel),flight,航班,Our flight got delayed due to bad weather.
旅行 (Travel),suitcase,行李箱,She packed her clothes neatly in the suitcase.
旅行 (Travel),ticket,票,We bought tickets to visit the famous museum.
旅行 (Travel),map,地图,Let's use the map to find our way back to the hotel.
旅行 (Travel),beach,海滩,We spent the whole day relaxing on the beach.
旅行 (Travel),camera,相机,I always take a camera with me to capture memories.
旅行 (Travel),adventure,冒险,Traveling to a new place can be quite an adventure.
旅行 (Travel),souvenir,纪念品,She bought a lovely souvenir to remember her trip.
旅行 (Travel),guide,导游,Our guide showed us around the ancient city.
旅行 (Travel),destination,目的地,Paris is a popular destination for tourists.
旅行 (Travel),tourist,游客,The city was full of tourists during the summer.
旅行 (Travel),explore,探索,We decided to explore the local markets.
旅行 (Travel),currency,货币,Don't forget to exchange your currency before you travel.
旅行 (Travel),sunscreen,防晒霜,It's important to wear sunscreen at the beach.
旅行 (Travel),reservation,预订,We made a reservation at the restaurant for dinner.
旅行 (Travel),sightseeing,观光,We went sightseeing in the historic district.
旅行 (Travel),Hiking,徒步旅行,They went hiking in the mountains.
旅行 (Travel),rental,租赁,We rented a car to travel around the countryside.
旅行 (Travel),cruise,邮轮,They enjoyed a romantic dinner on the cruise ship.
旅行 (Travel),local,当地的,Try some local food to experience the culture.
旅行 (Travel),itinerary,行程,We followed the itinerary for our trip to Europe.
旅行 (Travel),backpack,背包,He always travels with a backpack for convenience.
旅行 (Travel),scenic,风景如画的,The scenic views from the mountain were breathtaking.
旅行 (Travel),exchange,交流,It's a great opportunity to exchange ideas with locals.
旅行 (Travel),culture,文化,Learning about the local culture was very interesting.
旅行 (Travel),coast,海岸,We drove along the coast to enjoy the views.
旅行 (Travel),safety,安全,Always prioritize your safety when traveling.
购物 (Shopping),clothes,衣服,She bought some new clothes for the party.
购物 (Shopping),shoes,鞋子,He tried on several pairs of shoes before finding the right one.
购物 (Shopping),bag,包,She always carries a big bag with her wherever she goes.
购物 (Shopping),wallet,钱包,He realized he had left his wallet at home when he got to the store.
购物 (Shopping),dress,连衣裙,She found a beautiful dress that she just had to have.
购物 (Shopping),shirt,衬衫,He bought a new shirt to wear to the job interview.
购物 (Shopping),pants,裤子,She prefers wearing pants over skirts.
购物 (Shopping),hat,帽子,He put on his favorite hat before going out.
购物 (Shopping),scarf,围巾,She wrapped a scarf around her neck to keep warm.
购物 (Shopping),jacket,夹克,He wore a jacket to stay warm in the chilly weather.
购物 (Shopping),socks,袜子,She bought a pack of colorful socks for her kids.
购物 (Shopping),gloves,手套,He put on his gloves before braving the cold outside.
购物 (Shopping),coat,外套,She wore a thick coat to protect herself from the cold wind.
购物 (Shopping),boots,靴子,He brushed off the snow from his boots before entering the house.
购物 (Shopping),sweater,毛衣,She knitted a cozy sweater for the winter months.
购物 (Shopping),skirt,裙子,She twirled in her new skirt
购物 (Shopping),shorts,短裤,He packed a pair of shorts for his beach vacation.
购物 (Shopping),belt,腰带,She cinched her waist with a stylish belt.
购物 (Shopping),watch,手表,He checked the time on his watch before leaving.
购物 (Shopping),earrings,耳环,She wore a pair of dangling earrings to the party.
购物 (Shopping),bracelet,手镯,He bought a silver bracelet as a gift for his sister.
购物 (Shopping),necklace,项链,She received a beautiful necklace as a birthday present.
购物 (Shopping),ring,戒指,He got down on one knee and presented her with a diamond ring.
购物 (Shopping),sunglasses,太阳眼镜,She put on her sunglasses before stepping out into the sunlight.
购物 (Shopping),umbrella,雨伞,He grabbed an umbrella before heading out in the rain.
购物 (Shopping),shopping bag,购物袋,She filled her shopping bag with groceries from the store.
购物 (Shopping),credit card,信用卡,He used his credit card to pay for the dinner bill.
购物 (Shopping),cash,现金,She withdrew some cash from the ATM for the trip.
服装 (Clothing),T-shirt,T恤衫,I like to wear a T-shirt and jeans on weekends.
服装 (Clothing),Jeans,牛仔裤,She bought a new pair of jeans yesterday.
服装 (Clothing),Dress,连衣裙,She wore a beautiful dress to the party.
服装 (Clothing),Shirt,衬衫,He needs to iron his shirt before going to work.
服装 (Clothing),Skirt,裙子,She has a collection of colorful skirts.
服装 (Clothing),Sweater,毛衣,I always feel cozy in my favorite sweater.
服装 (Clothing),Coat,外套,It's too cold outside
服装 (Clothing),Jacket,夹克,He looks stylish in his leather jacket.
服装 (Clothing),Pants,裤子,I need to buy a new pair of pants for school.
服装 (Clothing),Socks,短袜,She likes to wear colorful socks with her sneakers.
服装 (Clothing),Shoes,鞋子,These shoes are comfortable for walking long distances.
服装 (Clothing),Hat,帽子,She wore a sun hat to protect herself from the heat.
服装 (Clothing),Scarf,围巾,He wrapped a scarf around his neck to keep warm.
服装 (Clothing),Gloves,手套,Don't forget to bring your gloves
服装 (Clothing),Sunglasses,太阳镜,She wore stylish sunglasses at the beach.
服装 (Clothing),Belt,皮带,He bought a new belt to match his jeans.
服装 (Clothing),Boots,靴子,She loves wearing boots in the winter.
服装 (Clothing),Sandals,凉鞋,I prefer wearing sandals in the summer.
服装 (Clothing),Raincoat,雨衣,He always carries a raincoat in case of unexpected rain.
服装 (Clothing),Pajamas,睡衣,I like to relax at home in my pajamas.
服装 (Clothing),Suit,西装,He looks very professional in his suit.
服装 (Clothing),Blouse,女衬衫,She wore a silk blouse to the dinner party.
服装 (Clothing),Sweatshirt,卫衣,I like to wear a sweatshirt when I exercise.
服装 (Clothing),Cap,帽宝,He wears a cap to shield his face from the sun.
服装 (Clothing),Shorts,短裤,She wore shorts and a tank top to the beach.
服装 (Clothing),Hoodie,卫衣帽,He pulled up his hoodie to stay warm.
服装 (Clothing),Slippers,拖鞋,I always wear slippers at home for comfort.
服装 (Clothing),Leggings,紧身裤,She wears leggings when she goes running.
服装 (Clothing),Tie,领带,He wore a red tie to the formal event.
金钱 (Money),salary,工资,She received her monthly salary.
金钱 (Money),income,收入,They have a high income.
金钱 (Money),expense,花费,He tried to reduce his expenses.
金钱 (Money),budget,预算,We need to stick to our budget.
金钱 (Money),currency,货币,The exchange rate of this currency is stable.
金钱 (Money),exchange,交换,We exchanged some foreign currency.
金钱 (Money),banknote,纸币,He paid with a large banknote.
金钱 (Money),coin,硬币,I found a rare coin in my collection.
金钱 (Money),credit,信用,She has good credit with the bank.
金钱 (Money),loan,贷款,They applied for a loan to buy a house.
金钱 (Money),debt,债务,He has a lot of debt to pay off.
金钱 (Money),savings,储蓄,She put her savings in a high-interest account.
金钱 (Money),invest,投资,He decided to invest in the stock market.
金钱 (Money),wealth,财富,He inherited a large wealth from his family.
金钱 (Money),profit,利润,The company made a huge profit this year.
金钱 (Money),loss,损失,The business experienced a loss last quarter.
金钱 (Money),interest,利息,The bank offers high interest rates on savings.
金钱 (Money),account,账户,She opened a new bank account.
金钱 (Money),withdraw,取款,I need to withdraw some cash from the ATM.
金钱 (Money),deposit,存款,She made a deposit at the bank.
金钱 (Money),balance,余额,Check your account balance regularly.
金钱 (Money),mortgage,抵押贷款,They took out a mortgage to buy a house.
金钱 (Money),tax,税,He needs to pay his income tax.
金钱 (Money),refund,退款,She received a refund for the faulty product.
金钱 (Money),fee,费用,There is a small fee for using the ATM.
金钱 (Money),invoice,发票,Please make sure to keep the invoice for your records.
金钱 (Money),paycheck,工资单,She received her paycheck on time.
金钱 (Money),bills,账单,He pays his utility bills online.
金钱 (Money),cash,现金,They only accept cash payments.
技术 (Technology),software,软件,We need to install new software for the computer.
技术 (Technology),hardware,硬件,The hardware of the device is not functioning properly.
技术 (Technology),network,网络,The company has a secure network to protect sensitive information.
技术 (Technology),database,数据库,All the data is stored in a centralized database.
技术 (Technology),programming,编程,He learned how to code by taking a programming course.
技术 (Technology),encryption,加密,The messages are encrypted to ensure privacy.
技术 (Technology),algorithm,算法,They used a complex algorithm to solve the problem.
技术 (Technology),digital,数字化的,We live in a digital age where everything is connected online.
技术 (Technology),cloud,云端,All my files are backed up on the cloud server.
技术 (Technology),cybersecurity,网络安全,It's important to have strong cybersecurity measures in place.
技术 (Technology),artificial intelligence,人工智能,Artificial intelligence is revolutionizing many industries.
技术 (Technology),virtual reality,虚拟现实,She experienced virtual reality for the first time.
技术 (Technology),augmented reality,增强现实,The game application uses augmented reality features.
技术 (Technology),blockchain,区块链,Transactions made on the blockchain are secure and transparent.
技术 (Technology),coding,编码,Learning coding skills can open up many career opportunities.
技术 (Technology),biometrics,生物识别技术,The new phone uses biometrics for secure access.
技术 (Technology),machine learning,机器学习,Machine learning algorithms can predict user behavior.
技术 (Technology),IoT (Internet of Things),物联网,The IoT allows devices to communicate with each other.
技术 (Technology),automation,自动化,Many tasks are now automated to increase efficiency.
技术 (Technology),3D printing,三维打印,They created a prototype using 3D printing technology.
技术 (Technology),drones,无人机,Drones are commonly used for aerial photography.
技术 (Technology),robotics,机器人技术,The company invested in robotics for their manufacturing process.
技术 (Technology),GPS,全球定位系统,GPS helps us navigate to our destination.
技术 (Technology),coding,编码,Coding is a crucial skill in today's digital world.
技术 (Technology),debugging,调试,She spent hours debugging the program to fix errors.
技术 (Technology),upload,上传,Please upload the files to the shared drive.
技术 (Technology),download,下载,You can download the software from the internet.
技术 (Technology),malware,恶意软件,Make sure to protect your computer from malware.
技术 (Technology),firewall,防火墙,The firewall blocks unauthorized access to the network.
事件 (Events),party,派对,I am going to a party this Saturday.
事件 (Events),wedding,婚礼,My sister is getting married next month.
事件 (Events),meeting,会议,We have a meeting with the principal tomorrow.
事件 (Events),festival,节日,We celebrate the Chinese New Year festival every year.
事件 (Events),concert,音乐会,I bought tickets to see my favorite band in concert.
事件 (Events),competition,比赛,I am participating in a dance competition next week.
事件 (Events),celebration,庆祝,We had a big celebration for my grandfather's birthday.
事件 (Events),graduation,毕业典礼,My graduation ceremony will be held in June.
事件 (Events),birthday,生日,We are throwing a birthday party for my friend.
事件 (Events),ceremony,典礼,The award ceremony will take place at 3 p.m.
事件 (Events),holiday,假日,We are planning a trip for the holiday season.
事件 (Events),parade,游行,We watched the Thanksgiving parade last year.
事件 (Events),reunion,团聚,I am excited for our family reunion this summer.
事件 (Events),performance,表演,The dance performance was amazing.
事件 (Events),exhibition,展览会,We visited an art exhibition at the museum.
事件 (Events),lecture,讲座,I attended a lecture on climate change.
事件 (Events),presentation,演讲,She gave a presentation on her research project.
事件 (Events),reception,招待会,We will have a reception after the wedding ceremony.
事件 (Events),campaign,活动,We are organizing a recycling campaign in our school.
事件 (Events),show,展示,The fashion show was held in the auditorium.
事件 (Events),film screening,电影放映,There will be a film screening at the community center.
事件 (Events),match,比赛,I am going to watch a soccer match this weekend.
事件 (Events),performance,表演,The theater performance was outstanding.
事件 (Events),tournament,锦标赛,Our school is hosting a basketball tournament next month.
事件 (Events),assembly,集会,We had a school assembly in the gym.
事件 (Events),launch event,发布会,The company is hosting a product launch event.
事件 (Events),competition,比赛,She won the singing competition last week.
事件 (Events),demonstration,示范,There was a cooking demonstration at the food festival.
事件 (Events),meeting,见面会,We had a meeting with the new clients.
天气 (Weather),sunny,晴天,It will be sunny tomorrow.
天气 (Weather),rainy,下雨的,It is rainy today.
天气 (Weather),cloudy,多云的,It is a cloudy day.
天气 (Weather),windy,有风的,It is windy outside.
天气 (Weather),stormy,暴风雨,A stormy weather is expected.
天气 (Weather),snowy,下雪的,It is snowy in the mountains.
天气 (Weather),hot,炎热的,Today is very hot.
天气 (Weather),cold,寒冷的,The weather is cold today.
天气 (Weather),warm,温暖的,It will be warm this weekend.
天气 (Weather),cool,凉爽的,The evening breeze is cool.
天气 (Weather),thunderstorm,雷暴,Be careful of the thunderstorm.
天气 (Weather),foggy,多雾的,The weather is foggy this morning.
天气 (Weather),misty,有雾的,The sky is misty in the early morning.
天气 (Weather),freezing,严寒的,The temperature is freezing.
天气 (Weather),humidity,湿度,The humidity level is high.
天气 (Weather),muggy,闷热的,It feels muggy in this weather.
天气 (Weather),breezy,有微风的,It is a breezy afternoon.
天气 (Weather),overcast,阴天的,The sky is overcast with clouds.
天气 (Weather),drizzle,毛毛雨,Expect light drizzle in the evening.
天气 (Weather),hail,冰雹,The hailstorm damaged the crops.
天气 (Weather),Rainbow,彩虹,We saw a beautiful rainbow.
天气 (Weather),Tornado,龙卷风,The tornado caused severe damage.
天气 (Weather),Blizzard,暴风雪,Drive carefully in a blizzard.
天气 (Weather),Cyclone,气旋,The cyclone warning has been issued.
天气 (Weather),Hurricane,飓风,The hurricane is approaching the coast.
天气 (Weather),Typhoon,台风,The typhoon is expected to hit soon.
天气 (Weather),Monsoon,季风,The monsoon rains have arrived.
天气 (Weather),Drought,干旱,The region is facing a severe drought.
文学 (Literature),adventure,冒险,Reading adventure novels allows me to escape reality for a while.
文学 (Literature),character,人物,The protagonist is a complex character with many flaws.
文学 (Literature),theme,主题,Love and loss is a common theme found in many literary works.
文学 (Literature),symbolism,象征主义,The author uses the color red as a symbol of passion throughout the novel.
文学 (Literature),metaphor,隐喻,The storm outside was a metaphor for the protagonist's inner turmoil.
文学 (Literature),irony,讽刺,The irony of the situation made me laugh out loud.
文学 (Literature),foreshadowing,预示,The dark clouds foreshadowed the impending doom.
文学 (Literature),conflict,冲突,The main conflict in the story arises from a misunderstanding.
文学 (Literature),setting,背景,The story is set in a small town in the 1950s.
文学 (Literature),dialogue,对话,The witty dialogue between the characters kept me engaged.
文学 (Literature),plot,情节,The plot thickened as the mystery unraveled.
文学 (Literature),resolution,结局,The resolution of the story left me feeling satisfied.
文学 (Literature),narrator,叙事者,The first-person narrator provides insight into the protagonist's thoughts.
文学 (Literature),poetry,诗歌,I find solace in reading poetry during difficult times.
文学 (Literature),prose,散文,Her writing style is characterized by its beautiful prose.
文学 (Literature),imagery,意象,The vivid imagery painted a picture in my mind.
